cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,6/30/2016,SM,,,4.312483712,0.128517727,4.183965986,0.607237537,2.993642378,0,6.279944884,6.470754132,1.581911799,48.67145074,,0.140433104,0,13.4875,65.30432226,6.243142857,,89.64480213,0.642751557,26.46259736,2.179043784,2.428905783,73.82565035,88.37042776,94.06401633,83.54112594,14.31055787,12.48748599,,16.47979071,16.47979071,17.23181514,310257.5,280117,41248,227866.5
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,6/30/2016,NM,,,4.42987286,0.585644209,3.844228652,0.592516692,3.4659999,0.093555267,0.454411298,0.454411298,0.454411298,5.333333333,,0.33784244,33.87096774,1.983870968,86.34850166,5.216666667,,88.89350373,0.821531239,112.4548736,6.842385517,0.730543028,80.09691161,95.50724454,102.8962706,83.86474973,8.211927583,8.740550988,,9.383901385,9.383901385,10.1488066,89786.5,79912,7650,73407
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,6/30/2016,SM,,,3.393991601,0.129212878,3.264778723,1.002516236,2.140292599,0,1.877728823,1.877728823,1.877728823,16.93121693,,0,,,53.26732673,6.264875,,92.36417327,3.733784546,,0,0,51.08242383,57.74018945,57.74018945,88.46944273,11.29711287,11.33352016,,20.73688837,20.73688837,24.37371814,50273.5,46435,5575.5,25505
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,6/30/2016,SM,,,4.337180268,0.122628609,4.214551659,0.64037258,2.250036385,9.61E-02,2.095764809,2.095764809,2.095764809,23.47475241,,0.256373911,63.46153846,14.48076923,50.65530799,3.330341463,,90.25881767,1.258054995,746.7153285,0.265848371,0.168478528,58.80375557,64.8633147,65.64283262,90.65795641,9.124531287,8.709137598,,14.29992657,14.29992657,15.51152379,137420,123951.5,12268.5,81131.5
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,6/30/2016,SB,,,3.90759736,0.194453897,3.713143463,0.161144977,2.839544129,0.156056189,0.391836735,0.391836735,0.566551816,3.822446531,,0,,,79.71428571,5.940275,,91.50796891,1.195922441,40.75894613,2.604677393,2.934134846,72.07831287,82.11164222,86.13776732,87.78086873,10.22216985,10.37069613,,16.37387084,16.37387084,17.62505056,235812.5,215989.5,24173,171827
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,6/30/2016,NM,,,4.489166382,0.158685432,4.33048095,0.661808637,3.27227604,8.17E-02,0.852984182,0.928710886,1.397151567,9.72930561,,6.00E-03,2000,334.3333333,69.61244862,4.587015625,,91.40951531,1.013462335,116.3478261,0.644482217,0.871062545,66.77373973,74.94647418,79.00332494,89.09523826,10.35020728,9.37724185,,12.07752534,12.07752534,12.9714364,293740.5,269716,28039,200140.5
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,6/30/2016,NM,,,2.808747856,0.242995998,2.565751858,0.198952071,2.442308187,-6.86E-03,0.144068741,0.144068741,0.226393736,1.72184073,,0,,,91.75257732,4.2055,,96.25320584,0.942655145,201.5267176,0.22249775,0.467756909,47.11856922,60.63162496,65.66620115,77.71285901,8.30375189,8.526631553,,20.53597681,20.53597681,21.64489436,58305.5,55968,4878.5,28086.5
58485,0,,3594797,0,1ST CAPITAL BANK,Monterey,CA,93940,6/30/2016,NM,,,3.219773996,0.154038196,3.0657358,6.83E-02,2.162843976,2.91E-02,0.496254554,0.500907395,0.849870457,6.011101781,,-7.33E-03,-571.4285714,,71.27455678,7.280586667,,96.86600347,1.557658335,344.2783209,0.318472504,0.452441598,69.29331702,75.9621446,76.7120066,91.220854,8.472943572,8.334688038,,13.47181875,13.47181875,14.72840606,550201.5,532335.5,45848.5,382091
57657,0,3602236,3247598,0,"1ST CENTURY BANK, NATIONAL ASSOCIATION",Los Angeles,CA,90067,6/30/2016,N,,,3.979553424,0.113622731,3.865930693,0.106478342,3.483971349,0.106478342,0.143745762,0.143745762,0.247562145,1.639244733,,6.33E-02,202.020202,6.717171717,90.77541961,9.660822785,,96.51993894,1.441401624,1513.398693,8.02E-02,0.09524269,82.97993331,99.12722674,104.1686747,83.71053649,8.689408481,8.564108134,,9.427537161,9.427537161,10.67931796,751326.5,725207,65884,625875.5
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,6/30/2016,NM,,,3.605298997,0.407383284,3.197915713,0.877167285,2.515160012,0.209247921,0.793468117,0.793468117,1.260509477,11.84574294,,0.108653686,280.8988764,19.73033708,63.11699223,8.70637037,,97.09897393,1.389270402,251.5135135,0.468579839,0.552364118,70.24890246,77.90090173,86.16896653,90.17726484,6.931918731,6.477443355,,10.64307448,10.64307448,11.8968442,477902,464427.5,32011.5,327646.5
11706,12404,1204083,338945,0,1ST COMMUNITY BANK,Sherrard,IL,61281,6/30/2016,NM,,,3.677934849,0.635935259,3.04199959,0.126412738,2.492136827,9.03E-02,0.333428645,0.565847492,0.571867146,5.866749883,,0,,,85.36082474,3.609,,91.3457098,0.90569582,4050,1.54E-02,2.24E-02,68.21218559,75.95604998,90.97292082,89.80480897,9.871925125,9.6566982,,14.19090114,14.19090114,15.09899325,66449,61012.5,6409,45610
27552,10064,2784920,1412619,0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,6/30/2016,NM,,,4.185220054,0.488537187,3.696682866,0.609799615,2.705638862,-3.96E-02,0.944832563,0.944832563,1.400001586,8.235736287,,-0.157231932,35.71428571,,65.59726962,6.107062857,,93.52131864,0.978294979,145,0.512942392,0.674686192,70.86109198,95.67302408,99.17160352,74.06590589,10.96734834,10.76572574,,11.1945911,11.1945911,11.99844858,1008856,943224,115739.5,712323.5
