cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,3/31/2017,SM,,,4.195549946,0.192078807,4.003471138,0.390159248,2.605574539,0,2.096029022,2.096029022,1.376019053,14.88929204,,3.65E-02,0,50.81818182,62.7202473,7.074804348,,89.84178392,0.664681882,27.88311011,1.910330905,2.383815432,73.6124213,87.65225218,93.10980089,83.9823501,14.310428,13.10029937,,17.32187253,17.32187253,18.11142884,324995.5,291547,45751,241290
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,3/31/2017,NM,,,4.524011837,0.750095227,3.773916611,0.484912934,3.283796358,8.93E-02,0.5359564,0.5359564,0.5359564,6.082915937,,0,,,84.00435256,5.159833333,,90.69952733,0.91425995,133.4552102,6.400938876,0.685068757,85.18362996,96.29151808,105.5682319,88.46431302,8.992538519,8.853641717,,10.01139704,10.01139704,10.88716934,94037.5,85322.5,8285.5,79300.5
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,3/31/2017,SM,,,3.365668494,0.118093631,3.247574863,0.398557223,2.112353281,0,1.355094558,1.355094558,1.355094558,11.41035322,,0,,,60.91954023,5.475555556,,94.62662338,4.145099349,220.1773836,0.915178571,1.882618133,46.59699675,53.18710335,53.18710335,87.60957792,12.20170455,12.04985872,,25.04164584,25.04164584,29.17707813,50181,47420,5959.5,23752
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,3/31/2017,SM,,,4.508394831,0.18368728,4.324707551,0.921645546,2.347862861,0.17499599,2.312863664,2.312863664,2.312863664,24.34288784,,0.164196872,171.4285714,24.37142857,48.55247286,3.48925,,89.9369492,1.116589158,1064.444444,6.45E-02,0.104898773,60.78598553,67.34643657,68.28363314,90.25865157,9.511356309,9.612370322,,15.26377328,15.26377328,16.37281347,137146,124124,13030.5,85263.5
4122,0,,350657,0,1ST BANK IN HOMINY,Hominy,OK,74035,3/31/2017,SM,,,3.430937592,0.354924579,3.076013014,0.753538172,3.04276806,5.72E-02,0.629538219,0.629538219,0.629538219,7.88648245,,-0.129799892,-100,,81.58567775,3.028357143,,97.33471708,0.763813651,43.78881988,0.901007147,1.744312026,43.20824587,47.07923209,49.7190935,91.77772012,7.991131448,8.202434949,,18.82739726,18.82739726,19.6,41935.5,40572,3347.5,18490
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,3/31/2017,SB,,,3.711023324,0.199144975,3.511878348,0.149772453,2.984295801,8.60E-02,0.219878708,0.219878708,0.310698175,2.227737757,,3.133638357,4.106463878,0.189353612,88.26578699,5.813809524,,91.55704808,0.59698806,31.10346983,1.828159554,1.919361613,67.84953723,77.5704654,82.60043675,87.46826112,10.17691867,10.17591849,,17.71924445,17.71924445,18.42872728,251047.5,230987.5,24778.5,167856
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,3/31/2017,NM,,,5.381249731,0.115130933,5.266118798,0.730543819,3.403298351,0,1.37249557,1.37249557,2.127572577,12.7423998,,-0.111695018,0,,60.79349433,4.778555556,,91.46152288,0.926307311,322.2929936,0.208603915,0.287411557,71.90789539,80.97266848,84.5888136,88.80514468,10.57734787,10.03421613,,11.93675212,11.93675212,12.76878922,293480,267521.5,31611,218452
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,3/31/2017,NM,,,2.717486325,0.219796688,2.497689637,0.179841675,2.337941776,0,0.160572924,0.160572924,0.250493762,2.051071685,,0,,,90.32258065,4.561785714,,96.46285133,0.962551306,262.3762376,0.158146089,0.366859177,42.69318093,60.81138346,64.12813397,70.20590308,7.653644406,7.848552482,,20.26618019,20.26618019,21.36489904,62277,60055.5,4875.5,27533.5
58485,0,,3594797,0,1ST CAPITAL BANK,Monterey,CA,93940,3/31/2017,NM,,,3.50737892,0.117293454,3.390085466,0.185605597,2.470874512,0,0.570592207,0.570592207,0.941803401,6.529088458,,5.80E-02,0,22.01694915,72.40280433,7.096,,95.19411442,1.519509097,5006.451613,2.24E-02,3.04E-02,72.6926329,79.92249001,80.5743913,90.95391409,8.814102564,8.973663593,,12.97881107,12.97881107,14.23398152,551707.5,525178.5,48215,406929.5
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,3/31/2017,NM,,,3.773008525,0.441389629,3.331618896,0.6256231,2.497648868,8.07E-02,0.818557192,0.818557192,1.28272917,11.84129857,,0.215781796,51.02040816,8.617346939,64.68743466,7.989968254,,97.08106197,1.263748677,176.6070749,0.533605632,0.71557081,72.06576501,78.29508395,88.24397993,92.04379301,6.906477964,6.923588386,,10.67144506,10.67144506,11.9237679,495506,481207.5,34253,363330
11706,12404,1204083,338945,0,1ST COMMUNITY BANK,Sherrard,IL,61281,3/31/2017,NM,,,3.690429004,0.580213701,3.110215303,0.122276482,2.518895538,9.17E-02,0.324032678,0.324032678,0.330146503,3.485982077,,0,,,85.65488565,3.608,,91.92689086,1.003758567,22700,3.08E-03,4.42E-03,68.94555309,76.37306406,90.01648506,90.2746982,9.485094851,9.840450347,,14.20681604,14.20681604,15.22607876,65425.5,59288.5,6081.5,45035
27552,10064,2784920,1412619,0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,3/31/2017,NM,,,4.140869151,0.487185592,3.65368356,0.897622501,3.163943543,5.86E-02,0.763857999,0.792157717,1.140582117,6.693014084,,5.30E-02,159.5744681,31.54255319,71.98373249,5.205484536,,93.78183597,1.110668151,101.7657366,0.792780018,1.091396956,66.56549793,77.32766604,80.29414786,86.08238337,12.0904399,11.20014612,,12.5760381,12.5760381,13.4362556,1024038.5,959798.5,121201,709704
34393,0,2531553,2531562,0,1ST EQUITY BANK,Skokie,IL,60076,3/31/2017,NM,,,3.860296197,0.466131897,3.3941643,3.205482601,2.25084434,0.32405152,3.892953522,3.888618238,3.910513611,24.43504282,,-0.326937009,-112.1212121,,34.682861,9.0596,,97.42483112,1.261890895,23.22984141,4.941719281,5.432197632,89.82295024,113.6329996,121.6237221,79.04653627,16.37489514,15.97205026,,19.43942134,19.43942134,20.69082999,91343.5,88387,14536.5,80749.5
57611,0,3203987,3203996,0,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,3/31/2017,NM,,,3.841899668,0.638449799,3.203449869,8.321513002,3.523134076,0,7.889226613,7.889226613,7.889226613,34.45224471,,-0.786142572,0,,30.87121212,9.622,,96.84057369,1.318370366,953.4883721,0.111723134,0.138268112,79.73654126,105.8606416,117.3351176,75.32217834,22.94741218,24.80898876,,30.41427046,30.41427046,31.66775715,37012.5,35711.5,8475.5,30020
1673,0,,526452,0,1ST FINANCIAL BANK USA,Dakota Dunes,SD,57049,3/31/2017,NM,,,20.85690949,2.322474194,18.5344353,2.73192078,13.91024419,4.195449769,1.036447276,1.036447276,1.098961289,5.075913375,,4.605653569,116.9353525,1.475655431,72.43162666,1.863920981,,88.99144664,4.870251328,167.4014302,2.238695785,2.909324803,72.86198997,99.60789878,368.4405447,73.14880734,20.60860247,20.56141149,,24.08326429,24.08326429,25.37169117,684646.5,608489,139797.5,533344.5
6646,8805,,480723,0,1ST NATIONAL BANK,Lebanon,OH,45036,3/31/2017,N,,,3.729426315,0.608885929,3.120540386,2.292278126,4.766925339,6.33E-02,0.265954921,0.265954921,0.265954921,2.765523145,,0.150307606,58.13953488,3.023255814,93.5387674,1.943419753,,89.5500486,0.901572428,41.30081301,1.954680879,2.182941114,70.94278255,84.54346559,91.60828835,83.91279214,9.680657108,9.286222527,,14.09344972,14.09344972,15.24932257,157921.5,141898.5,15187,114432
57633,0,4347208,1018927,0,1ST SECURITY BANK OF WASHINGTON,Mountlake Terrac,WA,98043,3/31/2017,SB,,,4.774288907,0.443794468,4.33049444,2.442957207,4.509714015,0,1.289494885,1.289494885,1.99780237,12.37305968,,0.038668358,0,66.546875,68.57925467,2.821700965,,93.99839781,1.51901425,1284.43038,9.00E-02,0.11826365,74.96470283,85.55766102,94.16126096,87.61892498,10.26256084,10.38233367,,12.520565,12.520565,13.77403704,852737,800370.5,88870.5,662040
9087,10250,1199602,991340,0,1ST SOURCE BANK,South Bend,IN,46601,3/31/2017,SM,,,3.934319837,0.332550724,3.601769112,1.591548875,2.937464502,7.29E-02,1.211907343,1.211907343,1.874876509,9.758302659,,-5.45E-02,-173.9130435,,59.91731837,4.852905477,,91.41889608,2.123786107,433.8854117,0.394758231,0.489480875,75.601371,95.75038865,105.6486494,78.95672495,12.48352368,11.39666629,,12.76420212,12.76420212,14.02672873,5486228,5016979,681348,4223595.5
