cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,12/31/2017,SM,,,4.220040304,0.281509792,3.938530512,0.320034231,2.717360245,0.300105359,1.664646915,1.664646915,0.845218609,11.71496339,,8.16E-02,512,19.54,68.07283763,7.0918,,90.60012973,0.742612096,33.39363242,1.653176909,2.22381347,69.58346259,82.30486719,87.21668434,84.54355735,13.85487464,12.62956336,,17.74485921,17.74485921,18.60774133,341213.5,306916.5,48485,245055
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,12/31/2017,NM,,,4.592093297,0.928689884,3.663403413,-0.201475512,3.180152687,-0.248881515,0.248881515,0.248881515,0.248881515,2.679995746,,0,,,100,5.641555556,,92.91369599,0.826038005,132.9020333,3.906526963,0.621539027,85.00709024,101.9137683,114.8263432,83.4108008,10.10950486,9.909683894,,11.84039107,11.84039107,12.66933373,101253,93465,9403,85449.5
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,12/31/2017,SM,,,3.941156346,0.200707036,3.74044931,0.523924863,2.187178394,0,1.746416208,1.746416208,1.746416208,13.354531,,0,,,55.602537,5.669555556,,91.59252146,2.454014857,5550,1.96E-02,4.42E-02,43.23482146,49.53075887,50.1500341,87.28883314,12.5328264,12.99585433,,25.91586967,25.91586967,27.1762036,48098.5,43845,6290,24831.5
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,12/31/2017,SM,,,4.81488125,0.31447861,4.500402639,0.925209917,2.59496746,8.21E-02,2.282914411,2.282914411,2.282914411,23.19566124,,3.57E-02,375,108,52.31788079,3.51552381,,89.5714247,1.223176921,1056.730769,7.04E-02,0.115751046,60.10687292,66.80039441,67.7199301,89.97981741,9.815647604,10.07450845,,16.29471758,16.29471758,17.52103372,146129,131010.5,14382,89626.5
4122,0,,350657,0,1ST BANK IN HOMINY,Hominy,OK,74035,12/31/2017,SM,,,3.709492011,0.361649639,3.347842372,0.617616783,3.186118328,0.137248174,0.470565168,0.470565168,0.470565168,5.658709107,,-2.19E-02,-1400,,83.97932817,2.880071429,,95.21837256,1.022289258,53.98230088,0.952357332,1.893748953,43.94236254,47.96686339,51.20513265,91.60983111,8.330646561,8.412319358,,19.82133534,19.82133534,20.88288184,40802,38711.5,3393,18275
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,12/31/2017,SB,,,3.745578137,0.20635361,3.539224527,0.156806586,2.844919487,0,-0.758431854,-0.758431854,0.57762426,-7.567200814,,3.66E-02,0,24.06666667,83.12295465,6.028317073,,92.60117899,0.585537705,30.36220472,1.796399917,1.928508519,66.22039885,75.37926588,79.2219673,87.84962029,10.04163278,10.10376932,,18.21992527,18.21992527,18.92760922,249989.5,230672,25055.5,163833
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,12/31/2017,NM,,,5.379551119,0.141990873,5.237560245,0.929902466,3.337567197,0.848983707,0.563353751,0.561125169,1.489701098,5.011848341,,1.021866937,105.9602649,2.918874172,58.09768638,4.665686567,,90.50194977,0.860189927,92.14501511,0.76231362,0.933517593,78.71567909,89.77693133,93.40246805,87.67918209,10.84417516,10.53770138,,11.47374217,11.47374217,12.25766697,301537,273257,33760,236430
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,12/31/2017,NM,,,3.043749506,0.246030561,2.797718945,0.223395613,2.538586515,0,0.28432169,0.28432169,0.379095586,3.314590115,,0.23495723,0,3.5,87.00696056,3.854466667,,96.40417178,0.925375353,115.2777778,0.373592542,0.802735246,46.10927582,54.96927708,57.70096533,83.88190325,8.741373644,8.446843715,,21.33209522,21.33209522,22.3830829,59088,56903.5,5068.5,27239
58485,0,,3594797,0,1ST CAPITAL BANK,Salinas,CA,93901,12/31/2017,NM,,,3.865085195,0.110053679,3.755031517,0.21567866,2.479264335,4.51E-02,0.124830092,0.124830092,1.240672418,1.390135828,,-1.12E-02,-541.6666667,,65.85006447,7.2529,,94.50978229,1.490420229,2501.176471,4.39E-02,5.96E-02,72.65283542,80.13195812,80.75008285,90.66649202,8.96055371,9.139006861,,12.90535938,12.90535938,14.15980282,576784,545188.5,51793.5,427222.5
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,12/31/2017,NM,,,4.045276878,0.57346837,3.471808508,0.677562244,2.311240099,0.228112622,0.820603162,0.820603162,1.510963804,11.59281564,,0.419704719,75.37313433,5.746268657,57.06319703,9.309982759,,97.21044707,1.266149399,234.2333655,0.429275953,0.540550402,70.15550605,76.2372133,87.75943271,92.02265273,7.075089957,7.069841634,,11.11049717,11.11049717,12.36244562,531316.5,516157.5,37609.5,383126.5
