cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,12/31/2016,SM,,,4.354186086,0.185730195,4.168455891,0.434251425,3.039759973,3.13E-02,1.10752885,1.10752885,1.098768735,7.920526245,,1.34E-02,312.5,112.875,70.13805522,6.623469388,,89.57387151,0.673537355,29.8293891,1.931905716,2.257965636,73.88260669,87.57930261,92.44618878,84.36080727,13.8437837,12.76794754,,16.83092385,16.83092385,17.62918835,319630.5,286437,44694,238678
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,12/31/2016,NM,,,4.625014763,0.718081965,3.906932798,0.542477134,3.306120488,0.217845148,0.551020081,0.551020081,0.551020081,6.302290076,,-2.05E-02,-1275,,81.13207547,5.288777778,,90.76451186,0.900260301,125.9325044,6.336267569,0.714875246,81.98281477,95.37927579,102.8531516,85.95453686,8.633584739,8.89098029,,9.878605769,9.878605769,10.73076923,93644.5,84670,8187.5,77954.5
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,12/31/2016,SM,,,3.521903732,0.121146566,3.400757166,0.46976876,2.292147572,0,1.360709513,1.360709513,1.360709513,11.49995722,,0,,,62.74944568,5.675777778,,94.37375201,4.216918634,176.6903915,1.100191848,2.386614574,44.15449669,50.01884993,50.01884993,88.27571356,11.56180259,11.72383675,,24.61859108,24.61859108,28.75781576,49386,46225,5843.5,25528.5
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,12/31/2016,SM,,,4.57608269,0.143922544,4.432160147,1.195403319,3.21338615,0.221918933,1.769433626,1.769433626,1.769433626,18.64598355,,0.301145428,119.047619,10.68253968,61.73962479,3.207666667,,91.09351108,1.101144813,840.5405405,8.24E-02,0.131004367,62.19993765,68.88594775,69.729145,90.29408708,9.49065483,9.353045033,,14.98685261,14.98685261,16.08207729,135184.5,122288,12828.5,83680.5
4122,0,,350657,0,1ST BANK IN HOMINY,Hominy,OK,74035,12/31/2016,SM,,,3.507595235,0.357715095,3.149880141,0.772725647,3.224460106,1.91E-02,0.553309722,0.553309722,0.553309722,6.986899563,,-2.19E-02,-200,,84.92462312,2.962428571,,96.1493948,0.696544276,38.73873874,0.966870811,1.798056156,44.34344409,48.49563589,51.1429366,91.43800936,7.973670251,8.064516129,,18.75139105,18.75139105,19.46917427,41929.5,40255.5,3320.5,18285
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,12/31/2016,SB,,,3.601780919,0.210132831,3.391648088,0.232082157,2.762577953,0.147252127,0.332917853,0.332917853,0.448158648,3.383007705,,0,,,82.26882745,6.140833333,,92.43781866,1.335171141,49.17211329,2.294166683,2.715301523,64.66665374,73.11828428,81.30895795,88.44115309,9.57951263,9.745545266,,17.30014576,17.30014576,18.55378966,249911.5,230330.5,24593.5,170313
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,12/31/2016,NM,,,4.966608413,0.14511297,4.821495444,0.782926508,3.446300138,2.85E-02,1.104154137,1.101791122,1.706779788,9.905139731,,0.217904657,17.39130435,10.6,65.63186813,4.538269841,,90.83211209,0.898801293,100.3065917,0.684478736,0.896054065,75.7015295,87.15079525,91.70483482,86.86269503,10.97509365,10.47356752,,11.78906783,11.78906783,12.59695226,280997,256352,31256.5,211101.5
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,12/31/2016,NM,,,2.764004642,0.225058902,2.53894574,0.297840655,2.538414675,0,0.135382116,0.135382116,0.203073174,1.637498721,,0,,,92.59259259,4.045933333,,96.40132479,0.962376525,252.3809524,0.173013231,0.381319001,44.93565556,63.83063384,67.48577085,70.39825998,8.012984231,8.437581331,,20.20105512,20.20105512,21.30187347,59092,56874,4885.5,27656.5
58485,0,,3594797,0,1ST CAPITAL BANK,Monterey,CA,93940,12/31/2016,NM,,,3.673467009,0.121205764,3.552261245,0.136359191,2.33971508,0,0.767486157,0.767486157,1.203388489,8.70520622,,-1.17E-02,0,,66.03575184,7.141909091,,95.18881597,1.546239138,4508.633094,2.53E-02,3.43E-02,72.56217643,79.70880167,80.44151828,91.03408271,8.663877206,8.893166613,,12.99856481,12.99856481,14.25455489,536817.5,514827,47328,408856.5
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,12/31/2016,NM,,,3.812753963,0.425337282,3.387416681,0.622189857,2.566326862,0.14440746,0.751743978,0.751743978,1.203945624,10.8218873,,0.224710537,87.93969849,8.211055276,65.55649241,9.030444444,,97.14873965,1.319096701,193.6657131,0.528664354,0.681120411,72.70098679,79.38386715,84.38809928,91.5815636,6.919186948,6.810796768,,10.61067423,10.61067423,11.86376902,484739.5,471155.5,33672.5,354233.5
11706,12404,1204083,338945,0,1ST COMMUNITY BANK,Sherrard,IL,61281,12/31/2016,NM,,,3.70729153,0.62137278,3.08591875,0.143383699,2.474927334,9.35E-02,0.32654079,0.230660734,0.236894808,2.399286699,,-3.59E-02,-375,,85.37634409,3.6615,,89.33193743,0.979036574,14633.33333,4.55E-03,6.69E-03,67.36917171,74.2938893,87.345084,90.67929052,9.108288953,9.859531142,,14.04431513,14.04431513,15.02685765,64163.5,57292.5,6168.5,44590
27552,10064,2784920,1412619,0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,12/31/2016,NM,,,4.267617747,0.545592363,3.722025384,0.763115936,3.034121447,0,0.814321512,0.814321512,1.214412841,7.109317008,,-4.27E-03,0,,69.45493794,5.217150754,,93.67326358,1.013199718,144.1708349,0.531682805,0.702777173,70.51953694,87.68116636,91.45945527,80.4272341,11.58769925,10.68470833,,12.12656487,12.12656487,12.96331861,1046761,980219,119899,749744.5
34393,0,2531553,2531562,0,1ST EQUITY BANK,Skokie,IL,60076,12/31/2016,NM,,,3.772947784,0.549283568,3.223664217,6.89E-02,2.274024226,0.211036339,0.661921938,0.663257066,0.66756393,4.304531638,,1.51E-02,1633.333333,68,72.13114754,7.083923077,,96.11254086,1.138044839,19.12858661,5.109076891,5.949445519,84.89754699,106.0079727,113.6678201,80.08600189,15.46079421,14.98389847,,19.46597761,19.46597761,20.69644395,92875,88843,14310.5,79239.5
