cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,9/30/2017,SM,,,4.352684529,0.225898817,4.126785711,0.556559773,2.8159713,6.39E-02,0.863711965,0.863711965,1.35761269,5.897527317,,4.65E-02,185.7142857,41.32142857,64.16352566,6.8299375,,89.24374003,0.679010301,32.59141494,1.692609437,2.083402338,73.17294875,87.46162652,93.27739261,83.66291785,14.59322773,13.58854572,,17.86349632,17.86349632,18.65055505,325571.5,290395.5,47681,241103
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,9/30/2017,NM,,,4.464767781,0.894716545,3.570051237,0.408901628,3.23112463,8.42E-02,0.340751357,0.340751357,0.340751357,4.000706007,,0,,,88.37719298,5.608777778,,91.69951861,0.932539919,144.014733,4.765347966,0.647530916,82.28669348,96.88272613,107.5599461,84.93432913,8.458963133,8.856103896,,9.9142794,9.9142794,10.82382498,99779.5,90755,8498.5,82433
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,9/30/2017,SM,,,4.261180113,0.195019685,4.066160428,0.413859999,2.224497494,0,1.784771245,1.784771245,1.784771245,13.57154565,,0,,,55.48387097,5.019,,90.6643643,2.051983584,2413.043478,5.09E-02,8.50E-02,58.64824777,68.17819183,68.61968037,86.02200527,13.69241327,13.44097705,,21.85666832,21.85666832,23.81793766,46392.5,41021.5,6101,26492
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,9/30/2017,SM,,,4.765450484,0.288533135,4.476917349,0.932602701,2.29800007,0.167533419,2.496247949,2.566053541,2.566053541,26.19539657,,2.25E-02,1200,190.8,46.31401238,3.52697561,,89.73832344,1.204630614,1455.405405,5.12E-02,8.28E-02,61.08183616,67.96186724,68.91741115,89.87663029,9.868885109,9.920878998,,15.99161775,15.99161775,17.20501583,143255,128928,14033,88871.5
4122,0,,350657,0,1ST BANK IN HOMINY,Hominy,OK,74035,9/30/2017,SM,,,3.631725069,0.450213852,3.181511218,0.589886304,2.997002997,0.152228724,0.466200466,0.475714761,0.475714761,5.833454864,,-2.16E-02,-1600,,82.89473684,2.948785714,,94.54254778,0.900852593,43.18766067,1.051280188,2.085902729,44.76661095,49.55488819,53.59763348,90.33742703,8.301237798,8.380293613,,19.48928511,19.48928511,20.43422015,42042,39981,3428.5,18544
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,9/30/2017,SB,,,3.733994361,0.211226423,3.522767939,0.161998841,2.853425133,0,0.378531946,0.378531946,0.545342634,3.749900691,,0,,,83.95469561,6.01947619,,91.95152244,0.600499292,38.84920635,1.497124414,1.545718299,64.09828414,73.29883664,77.18967324,87.44788741,10.00403452,9.883239289,,18.73870136,18.73870136,19.46403699,249384.5,229138,25174,164966.5
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,9/30/2017,NM,,,4.87517374,0.108696251,4.766477489,0.744092677,3.634812429,8.03E-02,1.148793442,1.175024048,1.409225879,10.56924026,,7.65E-02,142.8571429,25.83333333,70.66561431,4.538640625,,90.74991479,0.93430488,145.7638889,0.518464711,0.640971428,76.61985796,88.08187625,91.68204587,86.98708658,11.57456975,10.68086602,,12.27811002,12.27811002,13.11497485,298887.5,272318.5,33228.5,219662.5
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,9/30/2017,NM,,,2.95202952,0.219176206,2.732853315,1.121122441,2.347762289,0,0.943061818,0.943061818,1.404700471,11.41374838,,0,,,62.5659051,4.023933333,,96.2060339,0.961189699,103.1128405,0.425785715,0.932172651,45.23766133,58.91936215,61.98356488,76.77893935,8.421279345,8.700191702,,20.47780195,20.47780195,21.54540327,60653.5,58400.5,5011.5,27712
58485,0,,3594797,0,1ST CAPITAL BANK,Salinas,CA,93901,9/30/2017,NM,,,3.785353424,0.113575547,3.671777878,0.244854344,2.48817304,6.02E-02,0.723947958,0.723947958,1.17402704,8.033295379,,2.37E-02,340,69.76,66.84410646,7.1667,,94.53461844,1.477332408,2451.750973,4.48E-02,6.03E-02,73.29227538,80.85941183,81.60197455,90.64161329,8.999086051,9.07464132,,12.90037784,12.90037784,14.15485142,565234,535326.5,50938,422669.5
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,9/30/2017,NM,,,4.022136045,0.542480039,3.479656006,0.724087974,2.605637129,0.131091539,0.859035147,0.859035147,1.365665391,12.22764942,,-4.28E-02,-414.6341463,,63.51503759,8.7109,,97.08124304,1.295710589,244.548594,0.411170679,0.529837677,72.24913614,78.47547518,87.04932318,92.06587915,7.082123164,7.090263207,,10.95363512,10.95363512,12.20645807,518721.5,503613,36442,382779
