cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,6/30/2018,SM,,,4.214928136,0.282186949,3.932741188,0.555843055,2.653516327,3.34E-02,1.085162479,1.085162479,1.420744074,7.577252139,,0.156561088,29.59183673,12.86734694,62.74564851,7.163125,,90.02762993,0.721624605,34.18931584,1.740394963,2.110672844,72.98345112,87.11254135,92.71270916,83.78064741,14.57668034,13.23228558,,18.22083906,18.22083906,19.06232318,346860.5,313267.5,49675,250381.5
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,6/30/2018,NM,,,4.670350064,1.018059959,3.652290105,0.149857783,2.989268408,0.118308776,0.437742471,0.437742471,0.437742471,4.271900707,,-9.17E-02,-150,,84.31590656,5.589833333,,92.76066669,0.91104337,2922.222222,3.227088862,3.12E-02,85.2887683,108.6238323,123.8865871,78.51754674,10.38194341,10.38130138,,12.10979921,12.10979921,13.02132674,101429.5,94297,10393.5,87223
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,6/30/2018,SM,,,4.230853632,0.254553434,3.976300197,0.327590512,1.965543071,0,1.981523096,1.981523096,1.981523096,14.98715818,,-2.202248128,0,,49.79757085,5.449444444,,90.21306963,3.637467125,,0,0,48.55948619,56.36256064,57.10723192,86.15557141,13.57324906,13.32439303,,24.95314491,24.95314491,26.22760327,50062.5,45570,6619,23975.5
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,6/30/2018,SM,,,4.778842682,0.371783093,4.407059589,0.88419117,2.266554947,7.82E-02,2.558677104,2.558677104,2.558677104,26.26418125,,4.94E-02,272.7272727,91.90909091,46.22340426,3.678857143,,91.5851196,1.290111403,1484.415584,4.98E-02,8.69E-02,56.60013462,62.90161329,64.08247906,89.98200787,9.799238894,10.19546592,,19.5293234,19.5293234,20.78112286,153360.5,139866.5,14940.5,89064.5
4122,0,,350657,0,1ST BANK IN HOMINY,Hominy,OK,74035,6/30/2018,SM,,,4.067217759,0.455362803,3.611854957,0.607151164,3.153268946,0.146891411,0.724664292,0.724664292,0.724664292,8.675263775,,0.461760462,68.18181818,4.045454545,78.34549878,2.717733333,,93.65647844,1.023601167,56.93215339,0.956679586,1.797931583,45.7783447,51.1680193,54.27366584,89.46671246,8.379531963,8.701797892,,19.56618713,19.56618713,20.6423553,40846.5,38650.5,3412,19057.5
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,6/30/2018,SB,,,3.840815918,0.197839541,3.642976377,0.154528127,2.945495328,5.52E-02,0.409972583,0.409972583,0.521926635,4.122893954,,0,,,83.6168308,6.355125,,92.15790405,0.588207586,60.87751371,0.889046242,0.966214864,66.41844181,75.69354781,80.3272293,87.74650381,9.978560611,10.24066758,,18.42091905,18.42091905,19.14534129,253675.5,234533.5,25225,167056
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,6/30/2018,NM,,,4.965742683,0.105798396,4.859944286,0.986357542,3.457792733,0.209339304,1.327457466,1.327457466,1.731359182,12.86741667,,7.08E-02,414.6341463,38.43902439,63.38959854,4.948537313,,90.55562928,0.998879074,113.5268077,0.633083197,0.879861853,68.99400396,77.52431626,81.5244198,88.99659782,10.26746936,9.843739372,,12.1069003,12.1069003,12.99025759,324831.5,294900.5,33511,231487
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,6/30/2018,NM,,,3.041281829,0.224524162,2.816757667,0.157770181,2.517749145,0,0.282671575,0.282671575,0.361556666,3.363645253,,-3.07E-02,0,,87.44292237,3.903133333,,96.66080243,0.966108298,116.9811321,0.362102243,0.825866771,43.42152459,55.34101051,58.21920945,78.46174868,8.770731207,8.733587319,,22.97950416,22.97950416,24.08932247,60848,58791,5113.5,26094
58485,0,,3594797,0,1ST CAPITAL BANK,Salinas,CA,93901,6/30/2018,NM,,,3.962478016,0.120159771,3.842318245,0.395877109,2.657084717,0,1.00129721,1.00129721,1.385901437,11.23125413,,-1.12E-02,0,,65.72084632,7.007356322,,94.98835378,1.351954367,3243.939394,3.25E-02,4.17E-02,76.8760252,84.76815083,85.48729548,90.68975133,8.966931304,9.346423809,,12.74214199,12.74214199,13.99550147,603217.5,572571,53778.5,464294
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,6/30/2018,NM,,,4.23398265,0.75435216,3.479630489,0.73570951,2.560535816,0.230418588,1.01650901,1.01650901,1.324721655,13.87645705,,0.171939477,182.9411765,12.34705882,62.21422142,8.923548387,,97.12612515,1.300316963,234.7651007,0.44698695,0.55388001,71.98604634,78.3353035,94.05316305,91.89476919,7.263131258,7.541534026,,11.43313023,11.43313023,12.68599905,539887,524423.5,39549,395488
