cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,idntilrq,idntigrq,intincyq,intexpyq,nimyq,noniiayq,nonixayq,elnatryq,noijyq,roaq,roaptxq,roeq,roeinjrq,ntlnlsqr,elnatqr,iderncvq,eeffqr,astempm,iddivnir,ernastr,lnatresr,lnresncr,nperfv,nclnlsr,lnlsntv,lnlsdepr,idlncorr,depdastr,eqv,rbc1aaj,cblrind,idt1cer,idt1rwajr,rbcrwaj,asset2,ernast2,eq2,lnlsgr2
4829,0,2706726,746223,0,1880 BANK,Cambridge,MD,21613,12/31/2018,SM,,,4.425528834,0.342652723,4.082876111,0.745786158,2.493244047,5.03E-02,1.418305934,1.418305934,1.902738878,10.07750432,,3.14E-03,2300,893,54.6728972,7.862395833,,91.37508446,0.749479311,45.6340709,1.283800792,1.642367854,67.30163357,79.48782144,84.70725167,84.66911326,13.80383948,13.07016531,,19.01321156,19.01321156,19.8833192,365788.5,331531,51481,254395
57899,0,4526496,3317192,0,1ST ADVANTAGE BANK,Saint Peters,MO,63376,12/31/2018,NM,,,4.858790189,1.274308609,3.584481579,0.168411803,2.646994215,0.109833785,0.768836494,0.768836494,0.768836494,7.860016843,,0,,,75.07788162,6.227888889,,93.78690835,0.935048836,3365.384615,2.841162513,2.78E-02,82.69522399,99.50944611,113.5634747,83.10288844,9.633191201,9.763262952,,11.65384822,11.65384822,12.59506266,109256,102330,10687,92539
22039,0,1128415,564856,0,1ST BANK,Broadus,MT,59317,12/31/2018,SM,,,4.23172236,0.320046229,3.911676131,0.391996733,2.155982033,0,1.829318089,1.829318089,1.829318089,13.08506754,,-1.125980206,0,,54.09836066,5.643444444,,95.0247091,4.885443069,,0,0,37.67990392,43.69306637,43.99742517,86.23771928,13.54767577,13.72083749,,33.92328929,33.92328929,35.21987774,48980,44993.5,6847.5,22380.5
16419,17301,1055780,419255,0,1ST BANK & TRUST,Broken Bow,OK,74728,12/31/2018,SM,,,5.299489774,0.563106519,4.736383255,0.881490664,2.757281808,7.87E-03,2.463451587,2.463451587,2.463451587,23.58629784,,9.51E-02,13.63636364,42.81818182,52.734571,3.378666667,,92.06524599,1.221444323,2282,3.29E-02,5.35E-02,60.68995001,68.16506239,69.20855647,89.03380689,10.68929229,10.76951996,,19.81467347,19.81467347,21.06807232,152469,139938,15924.5,92537.5
4122,0,,350657,0,1ST BANK IN HOMINY,Hominy,OK,74035,12/31/2018,SM,,,4.568561784,0.587081538,3.981480246,0.576063064,3.223931883,0.555850325,0.565956694,0.565956694,0.565956694,6.502177068,,-0.90218946,-134.1463415,,74.18604651,2.853928571,,94.75910399,1.033114023,154.4715447,0.380427981,0.668805394,45.55374797,50.19857687,53.28317574,90.74709048,8.594669003,8.823603327,,20.21184733,20.21184733,21.30562432,39579,37473.5,3445,18178
30367,5236,3848427,148470,0,1ST BANK OF SEA ISLE CITY,Sea Isle City,NJ,8243,12/31/2018,SB,,,4.115865129,0.225314806,3.890550323,0.16923952,3.038328361,0.261842276,0.33847904,0.33847904,0.480576372,3.288542454,,0,,,80.36317568,5.878756098,,92.68179348,0.709973102,68.29539145,0.847615847,1.039562241,71.36734584,85.57882221,92.61915531,83.39369951,10.74269071,10.37536162,,18.34622215,18.34622215,19.21648259,250532.5,232563.5,25786.5,170930
57298,0,3559844,3048487,0,1ST BANK YUMA,Yuma,AZ,85364,12/31/2018,NM,,,5.460299335,0.126724621,5.333574714,0.998582414,3.548981973,0.102869043,1.643884937,1.643395682,2.151468393,14.78847402,,2.65E-02,512.5,112.3125,60.50583658,4.874106061,,90.1622986,0.94104589,428.5454545,0.170971522,0.219590683,77.12649717,87.71782824,92.47619225,87.92568023,11.23438331,10.84098737,,12.18373996,12.18373996,13.03355161,318852,287237,35433,241619
32487,8322,1064791,941653,0,1ST CAMERON STATE BANK,Cameron,MO,64429,12/31/2018,NM,,,3.303015384,0.234942517,3.068072867,0.200494553,2.439350398,0,0.90222549,0.90222549,0.728463543,10.34879264,,0,,,77.00421941,4.064857143,,96.67533563,0.998476221,121.4634146,0.360230548,0.822038656,43.38405848,54.53119823,57.41894972,79.55823434,9.230688128,8.739269315,,24.32282261,24.32282261,25.47576052,59852,57886.5,5218,25155.5
58485,0,,3594797,0,1ST CAPITAL BANK,Salinas,CA,93901,12/31/2018,NM,,,4.386204292,0.179182864,4.207021428,0.352829553,2.529045782,6.51E-02,1.263546425,1.263546425,1.747873339,13.43612907,,-1.07E-02,-769.2307692,,58.24587706,7.588865854,,95.07815526,1.343482632,241.5344891,0.435651074,0.556228072,77.2701342,85.7883525,87.03794545,90.07065872,9.507670898,9.554124803,,13.30053881,13.30053881,14.55366772,614461,582645,57784.5,486495.5
35456,0,3118513,2920773,0,1ST COLONIAL COMMUNITY BANK,Collingswood,NJ,8108,12/31/2018,NM,,,4.537958736,0.904854373,3.633104363,0.718834498,2.369272596,0.287386043,1.196826194,1.196826194,1.592074351,15.33110938,,0.2765714,138.4341637,9.053380783,55.76421492,8.237969697,,97.20106087,1.380777574,204.9162418,0.505052363,0.673825345,73.91807337,81.96024929,99.09509403,90.18771174,7.959448673,7.977389581,,12.16250936,12.16250936,13.41640509,541432,526051.5,42267,406405
11706,12404,1204083,338945,0,1ST COMMUNITY BANK,Sherrard,IL,61281,12/31/2018,NM,,,4.324211041,0.677622732,3.646588309,0.147632267,2.862782226,0.019256383,0.609785452,0.609785452,0.616204246,6.319640778,,0,,,81.83486239,3.478444444,,92.09576439,0.976937522,,0,0,74.953683,86.25728307,100.0085241,86.89548329,9.659490194,10.09561438,,13.03567056,13.03567056,13.98049139,62317,57259,6013,46824
27552,10064,2784920,1412619,0,1ST CONSTITUTION BANK,Cranbury,NJ,8512,12/31/2018,NM,,,4.961051293,0.803997625,4.157053668,0.524058975,2.705049259,7.60E-02,1.168327355,1.168327355,1.634645296,9.64654878,,3.97E-02,255.6818182,57.56818182,60.44964441,6.228968254,,93.62561848,0.948110099,127.6899696,0.785797711,0.742509456,74.56048927,92.29153283,96.13723658,80.7880062,12.32473296,11.73648022,,12.40155451,12.40155451,13.1817823,1184599.5,1108958.5,143471,886042
34393,0,2531553,2531562,0,1ST EQUITY BANK,Skokie,IL,60076,12/31/2018,NM,,,4.865500048,1.037465197,3.82803485,0.14034736,2.466103606,0.120297737,1.231046841,1.231046841,1.178917822,8.307962925,,-4.64E-03,-3000,,65.49520767,10.0338,,94.61918715,1.344940462,28.15292949,4.014431222,4.777266474,82.90179194,107.9640734,117.2551839,76.78646176,14.73619167,14.70658444,,18.1742198,18.1742198,19.42549504,99752.5,94461,14781,86296
57611,0,3203987,3203996,0,1ST EQUITY BANK NORTHWEST,Buffalo Grove,IL,60089,12/31/2018,NM,,,4.654156308,1.423505509,3.230650799,0.359244641,2.448535842,0,0.935926828,0.935926828,0.935926828,4.48801496,,0,,,72.34636872,10.4885,,93.49048958,1.299913125,,0,0,73.11579349,93.02501895,106.8443051,78.59798827,21.14935405,21.39154753,,32.43055556,32.43055556,33.68421053,42311,39620.5,8823.5,30854.5
